
         Dual Mode Scramjet

  N       NA    Nm    cf         Dinj       L
   1221   3     3     0.00300    0.00300    1.220
         Area changes along axis
  xA      theta
  0.000    0.00
  0.390    0.60
  0.990    1.20
         Injections along axis
  xm      psi     y       angle
  0.110   0.50    0.10    80.00
  0.510   0.30    0.40    60.00
  0.810   0.20    0.60    40.00


  x        p           Ma       rho         V          T         F         Tt        Pt          s          a         Ac           A            gamma       mdot       W         G
   0.1110    54485.8   3.1197    0.209771   1843.038    881.20     99.20   2282.53   2773214.5    1828.30   593.416   0.00379999   0.00379999   1.3456525    1.47446   29.0600   **********
   0.1120    55863.1   3.0749    0.211547   1835.503    863.42     99.16   2205.57   2789379.2    3494.81   599.384   0.00379999   0.00379999   1.3456215    1.48159   27.4951   **********
   0.1130    58246.8   3.0116    0.213443   1823.877    845.08     98.92   2121.70   2665318.5    5011.64   609.475   0.00379999   0.00379999   1.3483235    1.48877   26.0870   1951.28957
   0.1140    58279.8   3.0105    0.213470   1823.647    845.41     98.90   2121.70   2662055.7    5011.92   609.611   0.00379999   0.00379999   1.3498264    1.48877   26.0870    -55.52203
   0.1150    58312.9   3.0094    0.213497   1823.416    845.75     98.88   2121.70   2658795.6    5012.19   609.748   0.00379999   0.00379999   1.3513950    1.48877   26.0870    -55.41673
   0.1160    58345.9   3.0084    0.213524   1823.185    846.08     98.87   2121.71   2655538.3    5012.46   609.884   0.00379999   0.00379999   1.3513664    1.48877   26.0870    -55.31166
   0.1170    58378.9   3.0073    0.213551   1822.954    846.41     98.85   2121.71   2652283.7    5012.73   610.021   0.00379999   0.00379999   1.3513377    1.48877   26.0870    -55.20682
   0.1180    58409.3   3.0064    0.213578   1822.713    846.75     98.84   2121.63   2649400.0    5013.02   610.141   0.00379995   0.00379999   1.3513091    1.48877   26.0870    -49.63500
   0.1190    58439.7   3.0054    0.213608   1822.478    847.10     98.83   2121.62   2646734.6    5013.33   610.261   0.00379966   0.00379999   1.3512804    1.48877   26.0870    -38.47122
   0.1200    58472.2   3.0044    0.213652   1822.243    847.44     98.82   2121.64   2643997.1    5013.61   610.387   0.00379970   0.00379999   1.3512518    1.48877   26.0870    -51.79782
   0.1210    58507.6   3.0034    0.213678   1822.003    847.78     98.82   2121.62   2641285.1    5013.88   610.509   0.00379976   0.00379999   1.3512218    1.48877   26.0870    -51.21313
   0.1220    58537.9   3.0024    0.213702   1821.755    848.12     98.82   2121.61   2638785.2    5014.18   610.631   0.00379951   0.00379999   1.3511926    1.48877   26.0870    -44.93839
   0.1230    58568.6   3.0014    0.213746   1821.521    848.48     98.81   2121.62   2636026.8    5014.50   610.756   0.00379954   0.00379999   1.3511635    1.48877   26.0870    -50.98214
   0.1240    58605.2   3.0003    0.213771   1821.285    848.82     98.80   2121.63   2633180.1    5014.76   610.885   0.00379962   0.00379999   1.3511337    1.48877   26.0870    -49.05007
   0.1250    58635.6   2.9994    0.213795   1821.035    849.16     98.80   2121.59   2630607.3    5015.05   611.007   0.00379947   0.00379999   1.3511030    1.48877   26.0870    -49.20478
   0.1260    58665.5   2.9983    0.213833   1820.800    849.52     98.79   2121.58   2627895.8    5015.37   611.129   0.00379937   0.00379999   1.3510740    1.48877   26.0870    -45.25259
   0.1270    58700.9   2.9973    0.213866   1820.566    849.86     98.78   2121.61   2625056.3    5015.64   611.259   0.00379943   0.00379999   1.3510448    1.48877   26.0870    -48.98291
   0.1280    58733.4   2.9963    0.213890   1820.319    850.19     98.77   2121.57   2622413.7    5015.92   611.381   0.00379940   0.00379999   1.3510138    1.48877   26.0870    -51.44332
